industry,companies,employees,revenues,assets,profits,debt
Accounting,22165,2624503,684784000000.0,46021400000.0,2323130000.0,17950000000.0
Airlines/Aviation,6005,3697367,883335000000.0,1098630000000.0,-26556500000.0,564707000000.0
Alternative Dispute Resolution,637,8047,3221920000.0,,,
Alternative Medicine,1552,45597,39706000000.0,21528800000.0,10297200000.0,1557250000.0
Animation,2202,75038,32393000000.0,654944000.0,-103989.0,98024700.0
Apparel & Fashion,16189,3096620,624461000000.0,290474000000.0,19896200000.0,86890000000.0
Architecture & Planning,23961,852080,248763000000.0,52215400000.0,1918390000.0,18894000000.0
Arts And Crafts,4893,267523,65771000000.0,113323000.0,15556000.0,1983090.0
Asset Management,552,422916,117504000000.0,1246310000000.0,32827600000.0,235311000000.0
Automotive,31300,14304062,4934780000000.0,4549480000000.0,160091000000.0,1593500000000.0
Aviation & Aerospace,5766,1171075,358287000000.0,377461000000.0,734792000.0,156027000000.0
Banking,8322,9732972,2116000000000.0,68594000000000.0,528210000000.0,11154600000000.0
Banks—Diversified,7,510802,146081000000.0,5277100000000.0,38707300000.0,1144620000000.0
Banks—Regional,282,1082672,273814000000.0,19760700000000.0,86252600000.0,3188370000000.0
Beverages—Brewers,23,103164,31529400000.0,47788800000.0,2418690000.0,4485370000.0
Beverages—Non-Alcoholic,30,70859,18885700000.0,21039100000.0,720371000.0,3536570000.0
Beverages—Wineries & Distilleries,40,91058,21520700000.0,33303600000.0,1973190000.0,8291090000.0
Biotechnology,8816,1134311,503153000000.0,823995000000.0,50973000000.0,214011000000.0
Broadcast Media,8869,812857,265855000000.0,180477000000.0,4019690000.0,60691300000.0
Building Materials,14354,3704285,1278200000000.0,867721000000.0,50209800000.0,237779000000.0
Business Services,12,81277,28224700000.0,30226100.0,-2967240.0,9361610.0
Business Supplies And Equipment,9091,1687512,391285000000.0,248391000000.0,11043100000.0,64989500000.0
Capital Markets,1564,258358,142721000000.0,1345600000000.0,17149100000.0,671698000000.0
Chemicals,10470,4205310,2310790000000.0,1800210000000.0,120751000000.0,488059000000.0
Civic & Social Organization,11525,672520,166832000000.0,55104900.0,10653300.0,338640.0
Civil Engineering,13373,1690670,590056000000.0,376586000000.0,7339810000.0,88515900000.0
Commercial Real Estate,4894,456843,282460000000.0,621516000000.0,9382550000.0,217727000000.0
Computer Games,4739,277876,130133000000.0,76662300000.0,7168630000.0,8437790000.0
Computer Hardware,4364,943451,532718000000.0,358863000000.0,31836800000.0,74915000000.0
Computer & Network Security,5024,235794,60945900000.0,56011300000.0,264077000.0,15012700000.0
Computer Networking,3793,488375,160372000000.0,222786000000.0,13765100000.0,20113700000.0
Computer Software,53067,3503186,1159040000000.0,1176240000000.0,107663000000.0,308668000000.0
Construction,69037,6424884,2241480000000.0,1661620000000.0,49165800000.0,462534000000.0
Consumer Electronics,6248,1774296,1009650000000.0,742380000000.0,108362000000.0,181124000000.0
Consumer Goods,14154,4456782,1312280000000.0,774475000000.0,58014800000.0,252626000000.0
Consumer Services,11555,1348373,677093000000.0,490867000000.0,79298700000.0,63596200000.0
Cosmetics,5971,977506,361219000000.0,78220600000.0,5340350000.0,17130600000.0
Dairy,968,218942,67988000000.0,22012800000.0,933464000.0,6442950000.0
Defense & Space,3304,1778576,577006000000.0,458532000000.0,20699900000.0,92385300000.0
Design,28441,919532,207827000000.0,19916200000.0,630469000.0,5968550000.0
Drug Manufacturers—General,19,90012,25814200000.0,38054600000.0,2605320000.0,3281490000.0
Drug Manufacturers—Specialty & Generic,260,428348,115153000000.0,212410000000.0,2536940000.0,55464500000.0
E-Learning,7548,501093,134628000000.0,8893700000.0,-234689000.0,4119110000.0
Education Management,39080,6178977,881914000000.0,71201400000.0,-2857310000.0,20259300000.0
Electrical/Electronic Manufacturing,23611,10869222,2510040000000.0,1993920000000.0,75052300000.0,544857000000.0
Entertainment,21135,1575841,910529000000.0,529691000000.0,39282400000.0,174595000000.0
Environmental Services,17039,1570220,415608000000.0,301003000000.0,6288120000.0,119220000000.0
Events Services,19966,554594,145693000000.0,8194540000.0,43782700.0,3226060000.0
Executive Office,2286,143071,37745700000.0,19456700000.0,1193600000.0,2532040000.0
Facilities Services,10445,2036453,243229000000.0,64633500000.0,3147960000.0,27956600000.0
Farming,6222,1590920,491494000000.0,437257000000.0,12487100000.0,148682000000.0
Financial Services,48093,10790375,4055980000000.0,45853700000000.0,396249000000.0,11748700000000.0
Fine Art,4182,79987,38485600000.0,50974100.0,131494.0,2354910.0
Fishery,569,36346,14547200000.0,7814790000.0,577314000.0,2239000000.0
Food & Beverages,25162,7028526,2303770000000.0,1440330000000.0,71705900000.0,498579000000.0
Food Production,11562,3342058,1025680000000.0,496687000000.0,27650100000.0,141027000000.0
Fund-Raising,2258,52387,21183000000.0,3921580.0,-46142.4,3063470.0
"Furnishings, Fixtures & Appliances",129,648505,166936000000.0,198450000000.0,11694900000.0,31892300000.0
Furniture,10023,496573,128289000000.0,36302900000.0,1814160000.0,12285400000.0
Gambling & Casinos,1662,665339,108913000000.0,235972000000.0,-7235190000.0,99499500000.0
General Contractors,4,11812,4133680000.0,549060000.0,8547640.0,27572700.0
"Glass, Ceramics & Concrete",1711,365051,76017800000.0,63719400000.0,5175130000.0,18273800000.0
Government Administration,10982,6489583,1737020000000.0,39890600000.0,3345780000.0,13569200000.0
Government Relations,2874,168316,58366400000.0,,,
Graphic Design,9003,113719,40031500000.0,85194700.0,6004030.0,0.0
"Health, Wellness And Fitness",37184,2075477,914683000000.0,220456000000.0,3785030000.0,50760700000.0
Higher Education,13938,12107432,3591440000000.0,83008900000.0,895916000.0,27136500000.0
Hospital & Health Care,37310,11752408,5060350000000.0,1019540000000.0,65373400000.0,326482000000.0
Hospitality,28422,3124600,453307000000.0,441986000000.0,1939140000.0,247901000000.0
Human Resources,20837,1432705,322737000000.0,185671000000.0,7364660000.0,46791000000.0
Import And Export,6456,1243959,367087000000.0,289738000000.0,8797530000.0,93813500000.0
Individual & Family Services,8074,528971,122079000000.0,18222800000.0,879604000.0,5159110000.0
Industrial Automation,10190,1946787,501368000000.0,461727000000.0,20873500000.0,81004100000.0
Information Services,6003,1389891,308093000000.0,132814000000.0,8824850000.0,47739000000.0
Information Technology And Services,130832,13405479,2882860000000.0,1977680000000.0,86953400000.0,563903000000.0
Insurance,22209,5015305,3921190000000.0,8532600000000.0,187348000000.0,619952000000.0
Insurance—Diversified,26,104872,121696000000.0,1457880000000.0,8486100000.0,55471100000.0
Insurance—Life,22,318317,282152000000.0,2323000000000.0,15562600000.0,83524600000.0
Insurance—Property & Casualty,27,327521,198408000000.0,712035000000.0,19033300000.0,55216700000.0
Insurance—Reinsurance,6,18679,85422600000.0,288406000000.0,2751180000.0,17138600000.0
Insurance—Specialty,9,3168,3144460000.0,62138200000.0,1354920000.0,11841300000.0
International Affairs,2014,471830,148581000000.0,880569000.0,15880100.0,155391000.0
International Trade And Development,6761,953772,350195000000.0,239753000000.0,9708590000.0,79601700000.0
Internet,42417,5281935,2546010000000.0,1804000000000.0,166787000000.0,454082000000.0
Investment Banking,3093,425347,229519000000.0,3540670000000.0,36645800000.0,1389370000000.0
Investment Management,9561,1060049,476426000000.0,1038600000000.0,59094600000.0,285084000000.0
Jewelry Stores,2,14,5300720.0,8710720.0,86252.2,0.0
Judiciary,985,66070,22229000000.0,,,
Law Enforcement,1867,228603,78217000000.0,3574160000.0,-48823200.0,1568990000.0
Law Practice,27578,1486347,410541000000.0,10504200000.0,276237000.0,4179070000.0
Legal Services,17929,795827,206116000000.0,2656150000.0,-79825000.0,1296510000.0
