"x","tax_revenue_pct_gdp","country","country_code_3"
"Croatia","152.1799926758","Croatia","HRV"
"Nauru","44.3468017578","Nauru","NRU"
"Denmark","35.4556007385","Denmark","DNK"
"Seychelles","32.4802017212","Seychelles","SYC"
"Lesotho","32.3900985718","Lesotho","LSO"
"New Zealand","28.8432006836","New Zealand","NZL"
"Namibia","27.9652004242","Namibia","NAM"
"Barbados","27.4785003662","Barbados","BRB"
"Kiribati","27.3756008148","Kiribati","KIR"
"Sweden","27.3367996216","Sweden","SWE"
"United Kingdom","26.3806991577","United Kingdom","GBR"
"Luxembourg","26.1380996704","Luxembourg","LUX"
"South Africa","25.9158000946","South Africa","ZAF"
"Austria","25.783000946","Austria","AUT"
"Norway","25.7469005585","Norway","NOR"
"Jamaica","25.7094993591","Jamaica","JAM"
"Italy","25.4104995728","Italy","ITA"
"Greece","25.3409004211","Greece","GRC"
"Samoa","25.0244998932","Samoa","WSM"
"Netherlands","24.7812004089","Netherlands","NLD"
"Israel","24.6154003143","Israel","ISR"
"Malta","24.2325992584","Malta","MLT"
"Cyprus","24.1123008728","Cyprus","CYP"
"France","23.9682998657","France","FRA"
"St. Vincent and the Grenadines","23.7996006012","St. Vincent and the Grenadines","VCT"
"Belgium","23.3495006561","Belgium","BEL"
"Mozambique","23.3120002747","Mozambique","MOZ"
"Australia","23.1275005341","Australia","AUS"
"Botswana","22.2460002899","Botswana","BWA"
"Portugal","22.140499115","Portugal","PRT"
"Armenia","22.028799057","Armenia","ARM"
"Latvia","21.7668991089","Latvia","LVA"
"Georgia","21.7308006287","Georgia","GEO"
"Iceland","21.6184005737","Iceland","ISL"
"West Bank and Gaza","21.4745998383","West Bank and Gaza","PSE"
"Hungary","21.463300705","Hungary","HUN"
"Estonia","21.4246997833","Estonia","EST"
"Lithuania","21.393699646","Lithuania","LTU"
"Belize","21.160200119","Belize","BLZ"
"Solomon Islands","20.6681003571","Solomon Islands","SLB"
"Finland","20.6553001404","Finland","FIN"
"Bulgaria","20.6212997437","Bulgaria","BGR"
"Serbia","20.620300293","Serbia","SRB"
"Tunisia","20.1154994965","Tunisia","TUN"
"Chile","19.5981998444","Chile","CHL"
"Morocco","19.5489997864","Morocco","MAR"
"Trinidad and Tobago","19.5188007355","Trinidad and Tobago","TTO"
"El Salvador","19.4167995453","El Salvador","SLV"
"Slovak Republic","19.289100647","Slovak Republic","SVK"
"Poland","19.2052993774","Poland","POL"
"Bosnia and Herzegovina","19.1168003082","Bosnia and Herzegovina","BIH"
"Ukraine","19.0823001862","Ukraine","UKR"
"Nicaragua","18.904800415","Nicaragua","NIC"
"Palau","18.5898990631","Palau","PLW"
"Uruguay","18.515499115","Uruguay","URY"
"Moldova","18.3880996704","Moldova","MDA"
"Slovenia","18.2954998016","Slovenia","SVN"
"Mauritius","18.2770004272","Mauritius","MUS"
"St. Lucia","18.2415008545","St. Lucia","LCA"
"The Gambia","18.2047996521","The Gambia","GMB"
"Albania","18.198600769","Albania","ALB"
"Turkey","17.8817996979","Turkey","TUR"
"Cabo Verde","17.8036003113","Cabo Verde","CPV"
"North Macedonia","17.611000061","North Macedonia","MKD"
"Senegal","17.5193996429","Senegal","SEN"
"Nepal","17.4853000641","Nepal","NPL"
"Ireland","17.4769001007","Ireland","IRL"
"Kyrgyz Republic","17.4505996704","Kyrgyz Republic","KGZ"
"San Marino","17.295999527","San Marino","SMR"
"Marshall Islands","17.1609992981","Marshall Islands","MHL"
"Bolivia","16.9648990631","Bolivia","BOL"
"Mongolia","16.9088001251","Mongolia","MNG"
"Korea","16.8036994934","Korea","KOR"
"Zambia","16.7416000366","Zambia","ZMB"
"Cambodia","16.364900589","Cambodia","KHM"
"Peru","16.110200882","Peru","PER"
